Hour,Low,High,Last,Weight Avg
00:00 - 00:30,124.90,90.67,106.80,"1,049.4"
00:30 - 01:00,121.97,90.00,102.33,"1,271.9"
01:00 - 01:30,124.16,92.93,98.35,"1,077.4"
01:30 - 02:00,119.35,115.00,108.01,"1,311.5"
02:00 - 02:30,120.93,97.50,106.35,892.8
02:30 - 03:00,115.00,89.92,102.54,956.1
03:00 - 03:30,135.13,103.85,105.56,836.2
03:30 - 04:00,121.95,88.05,104.18,"1,089.6"
04:00 - 04:30,114.72,91.28,104.43,677.0
04:30 - 05:00,109.27,88.37,99.96,775.3
05:00 - 05:30,108.70,92.50,99.35,861.6
05:30 - 06:00,109.88,90.92,99.38,920.2
06:00 - 06:30,115.51,94.00,99.49,922.8
06:30 - 07:00,110.00,95.43,101.60,873.3
07:00 - 07:30,110.00,94.21,99.04,792.0
07:30 - 08:00,110.71,104.13,101.96,820.1
08:00 - 08:30,116.98,99.44,108.50,670.5
08:30 - 09:00,121.67,89.00,104.69,762.1
09:00 - 09:30,121.05,91.27,103.50,743.2
09:30 - 10:00,122.30,99.71,101.99,722.8
10:00 - 10:30,120.76,100.90,100.43,901.7
10:30 - 11:00,119.93,107.69,106.51,"1,202.2"
11:00 - 11:30,118.90,113.00,107.13,"1,030.4"
11:30 - 12:00,127.00,123.02,110.45,"1,146.0"
12:00 - 12:30,127.87,116.07,115.48,"1,149.9"
12:30 - 13:00,127.28,125.00,115.54,"1,258.0"
13:00 - 13:30,128.52,127.00,118.67,"1,127.8"
13:30 - 14:00,128.00,125.00,118.10,"1,305.8"
14:00 - 14:30,135.00,134.97,123.19,"1,159.4"
14:30 - 15:00,137.58,137.00,126.38,"1,030.7"
15:00 - 15:30,137.00,129.00,127.02,"1,239.1"
15:30 - 16:00,135.00,131.82,125.24,"1,551.0"
16:00 - 16:30,129.00,128.50,122.59,"1,666.2"
16:30 - 17:00,137.00,136.50,124.09,"1,521.1"
17:00 - 17:30,153.17,139.49,129.36,"1,735.9"
17:30 - 18:00,156.84,152.97,138.76,"1,306.3"
18:00 - 18:30,165.00,163.00,155.60,"1,588.5"
18:30 - 19:00,176.83,168.00,163.87,"1,761.5"
19:00 - 19:30,194.78,181.99,173.55,"1,677.9"
19:30 - 20:00,194.24,178.00,178.62,"2,062.4"
20:00 - 20:30,184.97,166.24,172.12,"1,645.7"
20:30 - 21:00,188.85,169.50,169.32,"1,411.2"
21:00 - 21:30,169.94,163.60,161.25,713.9
21:30 - 22:00,154.94,153.48,146.97,321.0
22:00 - 22:30,146.38,145.56,141.21,144.8
22:30 - 23:00,141.67,127.05,124.28,181.2
23:00 - 23:30,122.00,121.02,121.90,173.5
23:30 - 24:00,122.00,122.00,121.87,102.4
